neighbourhood,Unnamed: 0,log_price,property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,city,first_review,host_identity_verified,host_response_rate,host_since,instant_bookable,latitude,longitude,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,Wireless.Internet,Air.conditioning,Kitchen,Heating,Family,kid.friendly,Essentials,Hair.dryer,Iron,translation.missing,Washer,Dryer,Smoke.detector,Fire.extinguisher,Shampoo,Hangers,TV,Cable.TV,Breakfast,Buzzer,wireless.intercom,Carbon.monoxide.detector,Laptop.friendly.workspace,Internet,Indoor.fireplace,First.aid.kit,Elevator.in.building,Pool,Free.parking.on.premises,Gym,Hot.tub,Wheelchair.accessible,Doorman,Dog,Cat,Other.pet,Lock.on.bedroom.door,Pets.live.on.this.property,Private.entrance,Hot.water,Bed.linens,Extra.pillows.and.blankets,Coffee.maker,Refrigerator,Dishes.and.silverware,Garden.or.backyard,Pets.allowed,Safety.card,X24,hour.check,Self.Check,Lockbox,Suitable.for.events,Elevator,Microwave,Cooking.basics,Oven,Stove,Smoking.allowed,Outlet.covers,Bathtub,Dishwasher,Single.level.home,Luggage.dropoff.allowed,Step,free.access,Wide.clearance.to.bed,Accessible,height.bed,Wide.doorway,height.toilet,Wide.entryway,Hot.water.kettle,Babysitter.recommendations,Pack,n.Play,travel.crib,Keypad,Free.parking.on.street,Smart.lock,Wide.hallway.clearance,Flat,smooth.pathway.to.front.door,Well,lit.path.to.entrance,Long.term.stays.allowed,Private.living.room,Children,s.books.and.toys,s.dinnerware,BBQ.grill,Patio.or.balcony,Host.greets.you,Smartlock,Ethernet.connection,Fixed.grab.bars.for.shower,toilet,High.chair,Room,darkening.shades,Changing.table,Stair.gates,Window.guards,Table.corner.guards,Crib,Other,Private.bathroom,Doorman.Entry,Baby.monitor,Baby.bath,Fireplace.guards,Game.console,Firm.mattress,Pocket.wifi,Cleaning.before.checkout,Handheld.shower.head,Waterfront,Ground.floor.access,EV.charger,Wide.clearance.to.shower,Beach.essentials,Beachfront,Bathtub.with.shower.chair,Lake.access,Disabled.parking.spot,Air.purifier,Ski.in,Ski.out,Path.to.entrance.lit.at.night,Firm.matress,Paid.parking.off.premises,Flat.smooth.pathway.to.front.door
16th Street Heights,37291.64835164835,4.678870853700707,Apartment,Entire home/apt,3.4285714285714284,1.2967032967032968,flexible,0.6043956043956044,DC,nan,0.7142857142857143,100%,2016-11-29,0.18681318681318682,38.94475471125095,-77.03101931490846,16th Street Heights,13.31868131868132,95.72727272727273,20010.879120879123,1.4505494505494505,1.89010989010989,0.978021978021978,0.8681318681318682,0.8791208791208791,0.9120879120879121,0.5274725274725275,0.5274725274725275,0.8901098901098901,0.5054945054945055,0.5934065934065934,0.4065934065934066,0.8351648351648352,0.8351648351648352,0.8131868131868132,0.5714285714285714,0.5934065934065934,0.6593406593406593,0.6813186813186813,0.27472527472527475,0.23076923076923078,0.054945054945054944,0.054945054945054944,0.5164835164835165,0.6043956043956044,0.5934065934065934,0.0989010989010989,0.38461538461538464,0.06593406593406594,0.01098901098901099,0.5384615384615384,0.03296703296703297,0.02197802197802198,0.03296703296703297,0.02197802197802198,0.0989010989010989,0.03296703296703297,0.0,0.2967032967032967,0.13186813186813187,0.2087912087912088,0.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.13186813186813187,0.17582417582417584,0.31868131868131866,0.31868131868131866,0.13186813186813187,0.0989010989010989,0.04395604395604396,0.0,0.01098901098901099,0.0,0.0,0.0,0.04395604395604396,0.0,0.03296703296703297,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams Morgan,38480.86829268293,4.938512189220282,Apartment,Entire home/apt,3.2,1.4439024390243902,flexible,0.6048780487804878,DC,nan,0.5756097560975609,100%,2016-01-31,0.24878048780487805,38.922141058687565,-77.0410593700229,Adams Morgan,17.70731707317073,95.45394736842105,20008.99512195122,1.102439024390244,1.6439024390243901,0.9560975609756097,0.975609756097561,0.9804878048780488,0.9658536585365853,0.5463414634146342,0.5463414634146342,0.9414634146341463,0.5853658536585366,0.6780487804878049,0.3853658536585366,0.8341463414634146,0.8195121951219512,0.926829268292683,0.4926829268292683,0.7609756097560976,0.6731707317073171,0.8341463414634146,0.424390243902439,0.1073170731707317,0.2097560975609756,0.2097560975609756,0.5560975609756098,0.6292682926829268,0.5902439024390244,0.14634146341463414,0.33658536585365856,0.3463414634146341,0.014634146341463415,0.11707317073170732,0.14634146341463414,0.02926829268292683,0.07317073170731707,0.08292682926829269,0.024390243902439025,0.00975609756097561,0.0,0.22926829268292684,0.03902439024390244,0.09268292682926829,0.00975609756097561,0.00975609756097561,0.00975609756097561,0.014634146341463415,0.014634146341463415,0.014634146341463415,0.0,0.18048780487804877,0.14634146341463414,0.43414634146341463,0.43414634146341463,0.18048780487804877,0.1073170731707317,0.0975609756097561,0.0,0.014634146341463415,0.014634146341463415,0.014634146341463415,0.014634146341463415,0.014634146341463415,0.0,0.02926829268292683,0.014634146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.004878048780487805,0.0,0.004878048780487805,0.0,0.0,0.0,0.0,0.014634146341463415,0.024390243902439025,0.00975609756097561,0.00975609756097561,0.0,0.0,0.0,0.0,0.01951219512195122,0.0,0.0,0.0,0.0,0.01951219512195122,0.01951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.0,0.0,0.0,0.004878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alamo Square,42984.54639175258,5.146055717662337,Apartment,Entire home/apt,2.948453608247423,1.3298969072164948,strict,0.6804123711340206,SF,nan,0.7216494845360825,100%,2017-08-07,0.16494845360824742,37.77641056646123,-122.43393493835701,Alamo Square,23.185567010309278,95.96103896103897,94116.57291666667,1.3608247422680413,1.6082474226804124,0.9690721649484536,0.12371134020618557,0.8762886597938144,0.8762886597938144,0.44329896907216493,0.44329896907216493,0.8865979381443299,0.6494845360824743,0.6701030927835051,0.28865979381443296,0.6082474226804123,0.5876288659793815,0.8247422680412371,0.6597938144329897,0.711340206185567,0.5979381443298969,0.6804123711340206,0.27835051546391754,0.1134020618556701,0.26804123711340205,0.26804123711340205,0.5876288659793815,0.6804123711340206,0.6185567010309279,0.12371134020618557,0.32989690721649484,0.0,0.0,0.07216494845360824,0.010309278350515464,0.020618556701030927,0.010309278350515464,0.010309278350515464,0.08247422680412371,0.08247422680412371,0.0,0.15463917525773196,0.15463917525773196,0.061855670103092786,0.08247422680412371,0.12371134020618557,0.041237113402061855,0.05154639175257732,0.09278350515463918,0.09278350515463918,0.020618556701030927,0.1134020618556701,0.13402061855670103,0.28865979381443296,0.28865979381443296,0.14432989690721648,0.1134020618556701,0.041237113402061855,0.020618556701030927,0.08247422680412371,0.08247422680412371,0.09278350515463918,0.08247422680412371,0.030927835051546393,0.0,0.061855670103092786,0.05154639175257732,0.0,0.09278350515463918,0.030927835051546393,0.030927835051546393,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.010309278350515464,0.0,0.020618556701030927,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.0,0.0,0.030927835051546393,0.020618556701030927,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.030927835051546393,0.030927835051546393,0.010309278350515464,0.030927835051546393,0.010309278350515464,0.020618556701030927,0.05154639175257732,0.0,0.030927835051546393,0.0,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany Park,38296.52631578947,4.261204637104688,Apartment,Entire home/apt,3.3684210526315788,1.2105263157894737,strict,0.631578947368421,Chicago,nan,0.8947368421052632,100%,2014-04-15,0.10526315789473684,41.96726487263587,-87.71227832649988,Albany Park,17.894736842105264,96.17647058823529,60625.15789473684,1.5789473684210527,1.631578947368421,0.9473684210526315,0.7894736842105263,0.8947368421052632,0.9473684210526315,0.47368421052631576,0.47368421052631576,0.9473684210526315,0.6842105263157895,0.5263157894736842,0.42105263157894735,0.8947368421052632,0.8947368421052632,0.9473684210526315,0.5789473684210527,0.7368421052631579,0.6842105263157895,0.8947368421052632,0.2631578947368421,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.7368421052631579,0.5789473684210527,0.7368421052631579,0.15789473684210525,0.42105263157894735,0.0,0.0,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.0,0.0,0.3684210526315789,0.05263157894736842,0.0,0.3684210526315789,0.42105263157894735,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.42105263157894735,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alhambra,39999.792207792205,4.192188948661358,House,Private room,2.8701298701298703,1.2077922077922079,strict,0.7792207792207793,LA,nan,0.8051948051948052,100%,2014-03-17,0.33766233766233766,34.085643564256124,-118.13384333904632,Alhambra,21.025974025974026,93.96825396825396,91801.67532467532,1.2727272727272727,1.7012987012987013,0.974025974025974,0.9090909090909091,0.7922077922077922,0.8701298701298701,0.4025974025974026,0.4025974025974026,0.8961038961038961,0.7662337662337663,0.6363636363636364,0.4935064935064935,0.7272727272727273,0.6233766233766234,0.948051948051948,0.38961038961038963,0.8831168831168831,0.8051948051948052,0.6103896103896104,0.12987012987012986,0.07792207792207792,0.012987012987012988,0.012987012987012988,0.6493506493506493,0.7532467532467533,0.5584415584415584,0.12987012987012986,0.37662337662337664,0.1038961038961039,0.03896103896103896,0.7662337662337663,0.03896103896103896,0.1038961038961039,0.025974025974025976,0.0,0.09090909090909091,0.025974025974025976,0.0,0.44155844155844154,0.1038961038961039,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.3116883116883117,0.3116883116883117,0.16883116883116883,0.07792207792207792,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allerton,46575.416666666664,3.988390514082374,Apartment,Private room,2.25,1.0,strict,0.75,NYC,2017-08-10,0.6666666666666666,100%,2015-09-11,0.75,40.86757169079757,-73.86635841117022,Allerton,19.416666666666668,92.54545454545455,10467.166666666666,0.8333333333333334,1.1666666666666667,1.0,0.75,0.9166666666666666,0.8333333333333334,0.5,0.5,0.75,0.25,0.6666666666666666,0.25,0.0,0.0,0.5833333333333334,0.3333333333333333,0.75,0.5833333333333334,0.75,0.25,0.16666666666666666,0.0,0.0,0.5833333333333334,0.25,0.5,0.08333333333333333,0.25,0.0,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allston-Brighton,38152.932367149755,4.416305108201848,Apartment,Private room,2.7946859903381642,1.2584541062801933,strict,0.714975845410628,Boston,nan,0.5217391304347826,100%,2015-01-30,0.34782608695652173,42.351005674165755,-71.14153026498387,Allston-Brighton,16.6231884057971,92.90419161676647,2135.9053398058254,1.2826086956521738,1.5942028985507246,0.9565217391304348,0.6666666666666666,0.8695652173913043,0.9347826086956522,0.45169082125603865,0.45169082125603865,0.8816425120772947,0.606280193236715,0.5700483091787439,0.4323671497584541,0.6714975845410628,0.678743961352657,0.8768115942028986,0.4444444444444444,0.7101449275362319,0.782608695652174,0.5169082125603864,0.26570048309178745,0.10144927536231885,0.14009661835748793,0.14009661835748793,0.7222222222222222,0.7439613526570048,0.4855072463768116,0.05314009661835749,0.3695652173913043,0.0,0.04589371980676329,0.2995169082125604,0.06280193236714976,0.05555555555555555,0.007246376811594203,0.024154589371980676,0.024154589371980676,0.03140096618357488,0.0024154589371980675,0.32608695652173914,0.06280193236714976,0.0893719806763285,0.178743961352657,0.1473429951690821,0.1111111111111111,0.14251207729468598,0.178743961352657,0.17149758454106281,0.043478260869565216,0.09903381642512077,0.16183574879227053,0.24396135265700483,0.24396135265700483,0.19806763285024154,0.0748792270531401,0.043478260869565216,0.17632850241545894,0.17632850241545894,0.13768115942028986,0.13526570048309178,0.13043478260869565,0.01932367149758454,0.004830917874396135,0.06763285024154589,0.11352657004830918,0.007246376811594203,0.08695652173913043,0.014492753623188406,0.014492753623188406,0.012077294685990338,0.012077294685990338,0.012077294685990338,0.014492753623188406,0.007246376811594203,0.012077294685990338,0.007246376811594203,0.0024154589371980675,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.10628019323671498,0.0024154589371980675,0.00966183574879227,0.012077294685990338,0.012077294685990338,0.012077294685990338,0.01932367149758454,0.01932367149758454,0.11352657004830918,0.04589371980676329,0.007246376811594203,0.004830917874396135,0.0024154589371980675,0.014492753623188406,0.057971014492753624,0.033816425120772944,0.0,0.03140096618357488,0.004830917874396135,0.007246376811594203,0.0,0.028985507246376812,0.028985507246376812,0.0,0.0,0.0024154589371980675,0.0,0.0,0.00966183574879227,0.0024154589371980675,0.0,0.0,0.0,0.0024154589371980675,0.007246376811594203,0.007246376811594203,0.0,0.007246376811594203,0.004830917874396135,0.0,0.0,0.0,0.007246376811594203,0.0024154589371980675,0.0,0.0,0.0024154589371980675,0.0024154589371980675,0.0,0.0,0.0,0.0,0.0,0.0024154589371980675,0.0
Alondra Park,40731.5,4.902799525858505,House,Entire home/apt,6.0,1.0,flexible,0.0,LA,2015-12-31,0.5,nan,2015-11-30,0.0,33.89251283899185,-118.33500157918951,Alondra Park,1.0,100.0,90254.5,2.0,2.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphabet City,36678.52827140549,4.93604662701555,Apartment,Entire home/apt,2.6833602584814216,1.0849514563106797,strict,0.7027463651050081,NYC,nan,0.6672051696284329,100%,2014-02-19,0.2197092084006462,40.7247510897379,-73.9805942051383,Alphabet City,20.39903069466882,92.96031746031746,10008.978758169935,1.1442463533225284,1.4116693679092382,0.9789983844911146,0.8723747980613893,0.938610662358643,0.9224555735056543,0.3990306946688207,0.3990306946688207,0.8788368336025848,0.531502423263328,0.49596122778675283,0.36187399030694667,0.37318255250403876,0.37479806138933763,0.7915993537964459,0.25848142164781907,0.567043618739903,0.5815831987075929,0.6381260096930533,0.24394184168012925,0.08562197092084006,0.5024232633279483,0.5024232633279483,0.5605815831987075,0.4894991922455573,0.6074313408723748,0.030694668820678513,0.25848142164781907,0.0,0.004846526655896607,0.035541195476575124,0.09369951534733441,0.024232633279483037,0.08562197092084006,0.061389337641357025,0.05492730210016155,0.035541195476575124,0.0016155088852988692,0.23424878836833601,0.10016155088852989,0.04038772213247173,0.0791599353796446,0.07754442649434572,0.051696284329563816,0.0630048465266559,0.08239095315024232,0.08239095315024232,0.01615508885298869,0.1421647819063005,0.09208400646203554,0.17609046849757673,0.17609046849757673,0.08723747980613894,0.051696284329563816,0.035541195476575124,0.27140549273021003,0.061389337641357025,0.0791599353796446,0.07754442649434572,0.07754442649434572,0.06946688206785137,0.0032310177705977385,0.046849757673667204,0.045234248788368334,0.0016155088852988692,0.022617124394184167,0.014539579967689823,0.014539579967689823,0.008077544426494346,0.006462035541195477,0.006462035541195477,0.006462035541195477,0.0016155088852988692,0.004846526655896607,0.0032310177705977385,0.009693053311793215,0.006462035541195477,0.006462035541195477,0.006462035541195477,0.014539579967689823,0.0,0.006462035541195477,0.006462035541195477,0.006462035541195477,0.006462035541195477,0.012924071082390954,0.012924071082390954,0.03231017770597738,0.051696284329563816,0.008077544426494346,0.006462035541195477,0.006462035541195477,0.009693053311793215,0.025848142164781908,0.017770597738287562,0.0,0.024232633279483037,0.0,0.0016155088852988692,0.0,0.01938610662358643,0.01938610662358643,0.0016155088852988692,0.0016155088852988692,0.008077544426494346,0.0032310177705977385,0.0032310177705977385,0.006462035541195477,0.0016155088852988692,0.0,0.0,0.0016155088852988692,0.0,0.004846526655896607,0.0032310177705977385,0.006462035541195477,0.0032310177705977385,0.0,0.0016155088852988692,0.0,0.0,0.0016155088852988692,0.0,0.0,0.0,0.0,0.0,0.0,0.0016155088852988692,0.0016155088852988692,0.0,0.0,0.0,0.0
Altadena,37212.82407407407,4.697578901911181,House,Entire home/apt,3.4166666666666665,1.2897196261682242,flexible,0.7314814814814815,LA,nan,0.6666666666666666,100%,2014-02-28,0.2777777777777778,34.189707670398406,-118.13348259043171,Altadena,15.24074074074074,96.4,91010.68224299066,1.3703703703703705,1.9814814814814814,0.9629629629629629,0.8796296296296297,0.8518518518518519,0.9444444444444444,0.6018518518518519,0.6018518518518519,0.8148148148148148,0.6203703703703703,0.5833333333333334,0.3148148148148148,0.7777777777777778,0.7129629629629629,0.8981481481481481,0.5,0.7314814814814815,0.6388888888888888,0.7129629629629629,0.49074074074074076,0.1574074074074074,0.0,0.0,0.6944444444444444,0.6481481481481481,0.7037037037037037,0.35185185185185186,0.5370370370370371,0.009259259259259259,0.25,0.8148148148148148,0.046296296296296294,0.16666666666666666,0.09259259259259259,0.0,0.18518518518518517,0.12037037037037036,0.027777777777777776,0.2037037037037037,0.28703703703703703,0.17592592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148148,0.18518518518518517,0.3055555555555556,0.3055555555555556,0.12962962962962962,0.046296296296296294,0.17592592592592593,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.027777777777777776,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.027777777777777776,0.027777777777777776,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
